BH000001|lhhb|A|USED BOX HATCHING EGGS|BH|USED BOX HATCHING EGGS|W|KG|1.0|425.0|01-50220|O||
M-A005|OFF|A|ANTEC FARM FLUIT @ 5 L|MD1|DRUG|Q|DRIG|1.0|575000.0|01-50101|O|Y|
M-A006|OFF|A|ASCAREK D @ 1 KG|MD1|DRUG|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-A007|OFF|A|AMPROL 600 GR|MD1|DRUG|Q|PACK|1.0|164450.0|01-50101|O|Y|
M-A008|OFF|A|AVITONIK @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|59580.0|01-50101|O|Y|
M-A009|OFF|A|ANTICOLD @ 100 GR|MD1|DRUG|Q|PACK|1.0|10000.0|01-50101|O|Y|
M-A010|OFF|A|AVINEW @ 1000 DS|MD2|VACCINE|Q|VIAL|1.0|19000.0|01-50101|O|Y|
M-A011|OFF|A|AVINEW @ 2000 DS|MD2|VACCINE|Q|VIAL|1.0|37600.0|01-50101|O|Y|
M-A012|OFF|A|ASAM SITRAT @ 1KG|MD3|DISINFECTANT|Q|PACK|1.0|0.0|01-50101|O|Y|
M-A013|OFF|A|AMPROSOL @ 1 KG|MD1|DRUG|Q|PACK|1.0|180000.0|01-50101|O|Y|
M-A014|OFF|A|AGITA 10 WG @400 GR|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|280500.0|01-50101|O|Y|
M-A015|OFF|A|ALL VIT.M @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|171000.0|01-50101|O|Y|
M-A03|OFF|A|AM0XYCILIN 50 % @ 500 GR|MD1|DRUG|Q|PACK|1.0|0.0|01-50101|O|Y|
M-B001|OFF|A|BELERANG @ 25 KG|MD3|DISINFECTANT|Q|ZAK|1.0|80000.0|01-50101|O|Y|
M-B002|OFF|A|BROMOGUAD @ 5 L|MD3|DISINFECTANT|Q|BOTO|1.0|550000.0|01-50101|O|Y|
M-B003|OFF|A|BIOGREEN|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|143000.0|01-50101|O|Y|
M-B004|OFF|A|BELERANG @ 1 KG|MD3|DISINFECTANT|Q|BKS|1.0|0.0|01-50101|O|Y|
M-B005|OFF|A|BAYTRIL @ 1 L|MD1|DRUG|Q|BTL|1.0|1980000.0|01-50101|O|Y|
M-B006|OFF|A|BUTOX @ 1 L|MD9|MEDICINE (OTHERS)|Q|BTL|1.0|330000.0|01-50101|O|Y|
M-B006-5|OFF|A|BUTOX @ 500 ML|MD9|MEDICINE (OTHERS)|Q|BTL|1.0|215000.0|01-50101|O|Y|
M-B007|OFF|A|BIOCID @ 2 LTR|MD1|DRUG|Q|BTL|1.0|238049.6|01-50101|O|Y|
M-B008|OFF|A|BIOMIN @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|TIN|1.0|67650.0|01-50101|O|Y|
M-B009|OFF|A|BIOMIN @ 100 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|6417.0|01-50101|O|Y|
M-B010|OFF|A|BIODES @ 1 LTR|MD1|DRUG|Q|BTL|1.0|23000.0|01-50101|O|Y|
M-B011|OFF|A|BIODES @ 100 ML|MD1|DRUG|Q|BTL|1.0|23000.0|01-50101|O|Y|
M-C001|OFF|A|COPPER SULFATE @ 100 GR|MD1|DRUG|Q|PACK|1.0|12000.0|01-50101|O|Y|
M-C002|OFF|A|CTC SOLUBLE|MD1|DRUG|Q|PACK|1.0|132000.0|01-50101|O|Y|
M-C003|OFF|A|CYPER KILLER @ 30 GR|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|0.0|01-50101|O|Y|
M-C004|OFF|A|CARNYVIT @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|BKS|1.0|66696.66|01-50101|O|Y|
M-C005|OFF|A|CYTOXKILL @ 1 L|MD9|MEDICINE (OTHERS)|Q|BOTO|1.0|165000.0|01-50101|O|Y|
M-C006|OFF|A|COLIBACT @ 500 GR|MD1|DRUG|Q|BKS|1.0|0.0|01-50101|O|Y|
M-C007|OFF|A|CORYZA BIVALENT @ 500 CC|MD2|VACCINE|Q|VIAL|1.0|169400.0|01-50101|O|Y|
M-C008|OFF|A|CIPROMED @ 1 L|MD1|DRUG|Q|BKS|1.0|0.0|01-50101|O|Y|
M-C008-1|OFF|A|CIPROMED @ 250 GR|MD1|DRUG|Q|PACK|1.0|0.0|01-50101|O|Y|
M-C009|OFF|A|CIPROMAX @250 GR|MD1|DRUG|Q|PACK|1.0|23750.0|01-50101|O|Y|
M-C009-1|OFF|A|CIPROMAX @ 1 KG|MD1|DRUG|Q|PACK|1.0|90000.0|01-50101|O|Y|
M-C009-2|OFF|A|CIPROMAX @ 100 GR|MD1|DRUG|Q|PACK|1.0|9000.0|01-50101|O|Y|
M-C010|OFF|A|CHICKOFIT @ 1LTR|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|110000.0|01-50101|O|Y|
M-C011|OFF|A|CIPROMET @ 250 GR|MD1|DRUG|Q|PACK|1.0|33750.0|01-50101|O|Y|
M-C012|OFF|A|CHICK POLY BANCO + DIL 10|MD2|VACCINE|Q|VIAL|1.0|43000.0|01-50101|O|Y|
M-C013|OFF|A|CLINAFARM SMOKE 100 GR|MD3|DISINFECTANT|Q|PACK|1.0|100000.0|01-50101|O|Y|
M-C014|OFF|A|CITRIC ACID @ 1 KG|MD3|DISINFECTANT|Q|PACK|1.0|12500.0|01-50101|O|Y|
M-C015|OFF|A|COMBIVIT.MA @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|171000.0|01-50101|O|Y|
M-D001|OFF|A|DILUENT @ 1000 DS|MD|VACCINE|Q|BTL|1.0|0.0|01-50101|O|Y|
M-D002|OFF|A|DESTAN @ 1 L|MD3|DISINFECTANT|Q|BOTO|1.0|19250.0|01-50101|O|Y|
M-D002-1|OFF|A|DESTAN @ 100 ML|MD3|DISINFECTANT|Q|BTL|1.0|2200.0|01-50101|O|Y|
M-D002-6|OFF|A|DESTAN @ 6 L|MD3|DISINFECTANT|Q|KOTA|1.0|144375.0|01-50101|O|Y|
M-D003|OFF|A|DIAZENON @ 500 ML|MD9|MEDICINE (OTHERS)|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-D004|OFF|A|DILUENT OCULO @ 1000 DS|MD2|VACCINE|Q|VIAL|1.0|0.0|01-50101|O|Y|
M-D004B|OFF|A|DILUENT OCULO @ 2500 DS|MD2|VACCINE|Q|VIAL|1.0|5940.0|01-50101|O|Y|
M-D005|OFF|A|D-NOX @ 1 KG|MD1|DRUG|Q|TIN|1.0|0.0|01-50101|O|Y|
M-D006|OFF|A|D-NOX @ 1/2 KG|MD1|DRUG|Q|BOTO|1.0|30800.0|01-50101|O|Y|
M-D007|OFF|A|D-NOX @ 100 GR|MD1|DRUG|Q|BKS|1.0|0.0|01-50101|O|Y|
M-D008|OFF|A|DOXERIN  @ 250 GR|MD1|DRUG|Q|PACK|1.0|31250.0|01-50101|O|Y|
M-D008-1|OFF|A|DOXERIN @ 100 GR|MD1|DRUG|Q|PACK|1.0|1000.0|01-50101|O|Y|
M-D009|OFF|A|DES HP @ 1 LTR|MD3|DISINFECTANT|Q|BTL|1.0|23700.0|01-50101|O|Y|
M-D009-1|OFF|A|DES HP  @ 100 ML|MD3|DISINFECTANT|Q|BTL|1.0|3900.0|01-50101|O|Y|
M-D02-12|OFF|A|DESTAN @ 12 L|MD3|DISINFECTANT|Q|KOTA|1.0|0.0|01-50101|O|Y|
M-E001|OFF|A|ELECTROLYTE CONC @ 500 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|26400.0|01-50101|O|Y|
M-E002|OFF|A|ELECTROVIT @ 500 GR|MD4|VITAMIN & SUPPLEMENT|Q|BKS|1.0|26400.0|01-50101|O|Y|
M-E004|OFF|A|ERYTHROVIT @ 500 GR|MD1|DRUG|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-E005|OFF|A|EM4 @ 1 L|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|25000.0|01-50101|O|Y|
M-E006|OFF|A|ELMUGATOR 5 L|MD9|MEDICINE (OTHERS)|Q|PAIL|1.0|402500.0|01-50101|O|Y|
M-E007|OFF|A|ENRO CHICKS @ 1 LTR|MD1|DRUG|Q|BOTO|1.0|115000.0|01-50101|O|Y|
M-E008|OFF|A|ENRO CHICKS @ 100 ML|MD1|DRUG|Q|BTL|1.0|12000.0|01-50101|O|Y|
M-EN001|OFF|A|ENOQUIL @ 100 ML|MD1|DRUG|Q|BOTO|1.0|14000.0|01-50101|O|Y|
M-EN002|OFF|A|ENOQUIL @ 1000 ML|MD1|DRUG|Q|BOTO|1.0|128000.0|01-50101|O|Y|
M-F0004|OFF|A|FORMALIN @ 5 L|MD3|DISINFECTANT|Q|BOTO|1.0|27500.0|01-50101|O|Y|
M-F001|OFF|A|FLOXAMYCINE@ 100 ML|MD1|DRUG|Q|BOTO|1.0|12100.0|01-50101|O|Y|
M-F002|OFF|A|FLOXAMYCINE @ 1000 ML|MD1|DRUG|Q|BOTO|1.0|121000.0|01-50101|O|Y|
M-F003|OFF|A|FORMALIN 37% @200 KG|MD3|DISINFECTANT|Q|DRUM|1.0|950000.0|01-50101|O|Y|
M-F04-1|OFF|A|FORMALIN @ 1 L|MD3|DISINFECTANT|Q|BTL|1.0|5500.0|01-50101|O|Y|
M-F04-20|OFF|A|FORMALIN 37% @20 KG|MD3|DISINFECTANT|Q|DRG|1.0|90000.0|01-50101|O|Y|
M-F04-25|OFF|A|FORMALIN @ 25 L|MD3|DISINFECTANT|Q|DRG|1.0|100000.0|01-50101|O|Y|
M-F05-30|OFF|A|FORMALIN @ 30 LTR|MD3|DISINFECTANT|Q|DRG|1.0|200000.0|01-50101|O|Y|
M-F05-50|OFF|A|FORMALIN @ 50 LTR|MD3|DISINFECTANT|Q|DRG|1.0|0.0|01-50101|O|Y|
M-G003|OFF|A|GLUKOSA|MD4|VITAMIN & SUPPLEMENT|Q|KILO|1.0|8000.0|01-50101|O|Y|
M-G004|OFF|A|GULA MERAH|MD4|VITAMIN & SUPPLEMENT|Q|KILO|1.0|5200.0|01-50101|O|Y|
M-G005|OFF|A|GUMBORO NOBILIS 228 E|MD2|VACCINE|Q|VIAL|1.0|0.0|01-50101|O|Y|
M-G005A|OFF|A|GUMBORO NOBILIS 228E @ 25|MD2|VACCINE|Q|VIAL|1.0|124300.0|01-50101|O|Y|
M-G005B|OFF|A|GUMBORO NOBILIS 228-E @ 1|MD2|VACCINE|Q|VIAL|1.0|68750.0|01-50101|O|Y|
M-G005C|OFF|A|GUMBORO NOBILIS 228E @ 50|MD2|VACCINE|Q|VIAL|1.0|34375.0|01-50101|O|Y|
M-G006|OFF|A|GUMBORO-MB @ 1000 DS|MD2|VACCINE|Q|VIAL|1.0|49500.0|01-50101|O|Y|
M-G007|OFF|A|GUMBORO-MB @ 2000 DS|MD2|VACCINE|Q|VIAL|1.0|84700.0|01-50101|O|Y|
M-G008|OFF|A|GLUKOSA @ 25 KG|MD4|VITAMIN & SUPPLEMENT|Q|ZAK|1.0|16052.0|01-50101|O|Y|
M-G009|OFF|A|GENTAKILL|MD9|MEDICINE (OTHERS)|Q|BTL|1.0|25.0|01-50101|O|Y|
M-G010|OFF|A|GLUTAMAS @ 1 LTR|MD3|DISINFECTANT|Q|BTL|1.0|50000.0|01-50101|O|Y|
M-H001|OFF|A|HIPRALONA NOR-S @ 1 L|MD1|DRUG|Q|BOTO|1.0|235000.0|01-50101|O|Y|
M-H002|OFF|A|HIPRAVIAR-S|MD2|VACCINE|Q|VIAL|1.0|15000.0|01-50101|O|Y|
M-H003|OFF|A|HIPRAVIAR-S/H120(ND+IB)|MD2|VACCINE|Q|VIAL|1.0|23000.0|01-50101|O|Y|
M-H004|OFF|A|HIPRALONA FLU-S @ 1 LTR|MD1|DRUG|Q|BTL|1.0|175000.0|01-50101|O|Y|
M-H005|OFF|A|HIPRAVIAR CLONE 1000DS|MD2|VACCINE|Q|VIAL|1.0|18500.0|01-50101|O|Y|
M-H006|OFF|A|HIPRA GUMBORO CH80+C96100|MD2|VACCINE|Q|VIAL|1.0|47700.0|01-50101|O|Y|
M-H007|OFF|A|HEPARENOL @ 1 LTR|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|120000.0|01-50101|O|Y|
M-H008|OFF|A|HIPRACHOCK - AMINO @ 1 L|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|95000.0|01-50101|O|Y|
M-H009|OFF|A|HIPRAMIN B @ 1 L|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|95000.0|01-50101|O|Y|
M-I001|OFF|A|IBD BLEN @ 1000 DS|MD2|VACCINE|Q|VIAL|1.0|48000.0|01-50101|O|Y|
M-I002|OFF|A|IBD BLEN @ 2000 DS|MD2|VACCINE|Q|VIAL|1.0|84000.0|01-50101|O|Y|
M-I003|OFF|A|ISTAM @ 1 LTR|MD3|DISINFECTANT|Q|BTL|1.0|17850.0|01-50101|O|Y|
M-I003A|OFF|A|ISTAM @5 L|MD3|DISINFECTANT|Q|PAIL|1.0|72000.0|01-50101|O|Y|
M-I004|OFF|A|IMEQUYL @ 1 KG|MD1|DRUG|Q|PACK|1.0|220000.0|01-50101|O|Y|
M-K001|OFF|A|KAPORIT 65% @ 15 KG|MD3|DISINFECTANT|Q|DRUM|1.0|165000.0|01-50101|O|Y|
M-K002|OFF|A|KAPORIT 60% @ 15 KG|MD3|DISINFECTANT|Q|TIN|1.0|0.0|01-50101|O|Y|
M-K003|OFF|A|KAPORIT TABLET @ 1 KG|MD3|DISINFECTANT|Q|PACK|1.0|60000.0|01-50101|O|Y|
M-K004|OFF|A|KLERAT @ 1 KG|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|17500.0|01-50101|O|Y|
M-L001|OFF|A|LANNATE @ 100 GR|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|0.0|01-50101|O|Y|
M-L002|OFF|A|LARVACIDE @ 1 KG|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|50000.0|01-50101|O|Y|
M-L003|OFF|A|LYSINE @ 25 KG|MD4|VITAMIN & SUPPLEMENT|Q|ZAK|1.0|662500.0|01-50101|O|Y|
M-L004|OFF|A|LUTASOL @ 1KG|MD4|VITAMIN & SUPPLEMENT|Q|BTL|1.0|99000.0|01-50101|O|Y|
M-L005|OFF|A|LINCO SPECTIN @ 150 GR|MD1|DRUG|Q|PACK|1.0|330000.0|01-50101|O|Y|
M-L006|OFF|A|LASOTA MASS BLEND @ 2000|MD2|VACCINE|Q|VIAL|1.0|45600.0|01-50101|O|Y|
M-M001|OFF|A|MAXIKLEN @ 25 L|MD1|DRUG|Q|DRUM|1.0|0.0|01-50101|O|Y|
M-M002|OFF|A|MAXI.5 @ 25 LTR|MD1|DRUG|Q|DRUM|1.0|0.0|01-50101|O|Y|
M-M004|OFF|A|MASABRO @ 250 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|15000.0|01-50101|O|Y|
M-M004-1|OFF|A|MASABRO @ 100 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|6000.0|01-50101|O|Y|
M-M005|OFF|A|MASACHICKS @ 250 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|21000.0|01-50101|O|Y|
M-M006|OFF|A|MASACHICK 100 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|8400.0|01-50101|O|Y|
M-M03|OFF|A|MEDIVAC ND-IB @ 500 DS|MD2|VACCINE|Q|VIAL|1.0|8775.0|01-50101|O|Y|
M-N001|OFF|A|ND LASOTA @ 1000 DS|MD2|VACCINE|Q|VIAL|1.0|15000.0|01-50101|O|Y|
M-N002|OFF|A|ND LASOTA @ 2000 DS|MD2|VACCINE|Q|VIAL|1.0|29260.0|01-50101|O|Y|
M-N003|OFF|A|ND LASOTA @ 2500 DS|MD2|VACCINE|Q|VIAL|1.0|29260.0|01-50101|O|Y|
M-N004|OFF|A|NEOPOREX @ 1 KG|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|0.0|01-50101|O|Y|
M-N005|OFF|A|NOB MA5 CLONE30|MD2|VACCINE|Q|VIAL|1.0|30800.0|01-50101|O|Y|
M-N005-2|OFF|A|NOB MA5 CLONE30 2500 DS|MD2|VACCINE|Q|VIAL|1.0|55000.0|01-50101|O|Y|
M-N006|OFF|A|NOFLOXAXIN 20%(HIDER) @ 1|MD1|DRUG|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-N007|OFF|A|NOPTRESS MERAH @ 151 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|0.0|01-50101|O|Y|
M-N008|OFF|A|NOPTRESS MERAH @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|0.0|01-50101|O|Y|
M-N009|OFF|A|NUVAN @ 1 L|MD9|MEDICINE (OTHERS)|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-N009-2|OFF|A|NUVAN @ 20 L|MD9|MEDICINE (OTHERS)|Q|PAIL|1.0|1245000.0|01-50101|O|Y|
M-N010|OFF|A|ND CLONE 30 @ 1000 DS|MD2|VACCINE|Q|BOTO|1.0|21450.0|01-50101|O|Y|
M-N011|OFF|A|ND CLONE 30 @ 2500 DS|MD2|VACCINE|Q|BOTO|1.0|39600.0|01-50101|O|Y|
M-N012|OFF|A|NEOBRO @ 250 GR|MD1|DRUG|Q|BKS|1.0|13897.5|01-50101|O|Y|
M-N013|OFF|A|NUVAN @ 25 L|MD9|MEDICINE (OTHERS)|Q|PAIL|1.0|1850000.0|01-50101|O|Y|
M-N014|OFF|A|NOB REO-IB-G-ND|MD2|VACCINE|Q|VIAL|1.0|935000.0|01-50101|O|Y|
M-N015|OFF|A|NOB ILT 1000 DS + DILUENT|MD2|VACCINE|Q|VIAL|1.0|72600.0|01-50101|O|Y|
M-N016|OFF|A|NOB GUMBORO D78 1000 DS|MD2|VACCINE|Q|VIAL|1.0|56100.0|01-50101|O|Y|
M-N017|OFF|A|NEOMIX  @ 100 GR|MD1|DRUG|Q|PACK|1.0|55000.0|01-50101|O|Y|
M-N017-5|OFF|A|NEOMIX 500 GR|MD1|DRUG|Q|TIN|1.0|330000.0|01-50101|O|Y|
M-N018|OFF|A|NOB RT INAC  1000 DS|MD2|VACCINE|Q|VIAL|1.0|506000.0|01-50101|O|Y|
M-N019|OFF|A|ND LASOTA 1000 DS HYPRAVI|MD2|VACCINE|Q|VIAL|1.0|15000.0|01-50101|O|Y|
M-N020|OFF|A|NEOXIN @ 250 GR|MD1|DRUG|Q|PACK|1.0|18750.0|01-50101|O|Y|
M-N021|OFF|A|ND LASOTA VACCINE|MD2|VACCINE|Q|VIAL|1.0|15000.0|01-50101|O|Y|
M-N022|OFF|A|NOTRIL @ 200 ML|MD1|DRUG|Q|BTL|1.0|79000.0|01-50101|O|Y|
M-N023|OFF|A|NORTRIL @ 1000 ML|MD1|DRUG|Q|BTL|1.0|330500.0|01-50101|O|Y|
M-O001|OFF|A|OXALDIN @ 500 ML|MD1|DRUG|Q|BTL|1.0|297000.0|01-50101|O|Y|
M-O002|OFF|A|OPTICIDE @ 5 L|MD1|DRUG|Q|PAIL|1.0|308000.0|01-50101|O|Y|
M-O002-2|OFF|A|OPTICIDE @ 25 L|MD1|DRUG|Q|PAIL|1.0|1540000.0|01-50101|O|Y|
M-O007|OFF|A|OMNICIDE @ 5 L|MD1|DRUG|Q|PAIL|1.0|350625.0|01-50101|O|Y|
M-P001|OFF|A|PENMOXYL|MD1|DRUG|Q|BKS|1.0|0.0|01-50101|O|Y|
M-P002|OFF|A|POTASIUM PK @ 1KG|MD3|DISINFECTANT|Q|BKS|1.0|14000.0|01-50101|O|Y|
M-P003|OFF|A|POLYBRON ND IB + DILUENT|MD2|VACCINE|Q|VIAL|1.0|40000.0|01-50101|O|Y|
M-P004|OFF|A|PULMOTIL AC @ 60 ML|MD1|DRUG|Q|BTL|1.0|181500.0|01-50101|O|Y|
M-P005|OFF|A|PELARUT VACCIN|MD9|MEDICINE (OTHERS)|Q|VIAL|1.0|1100.0|01-50101|O|Y|
M-Q001|OFF|A|QUINABIC @ 500 GR|MD1|DRUG|Q|PACK|1.0|0.0|01-50101|O|Y|
M-R001|OFF|A|ROUNDUP @ 5 L|MD9|MEDICINE (OTHERS)|Q|DRIG|1.0|190000.0|01-50101|O|Y|
M-R002|OFF|A|RHODIVIT @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|190000.0|01-50101|O|Y|
M-S001|OFF|A|SINTOKAP @ 1 L|MD9|MEDICINE (OTHERS)|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-S002|OFF|A|SKIM MILK @ 500 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|9250.0|01-50101|O|Y|
M-S003|OFF|A|SNIP @ 500 GR|MD9|MEDICINE (OTHERS)|Q|PACK|1.0|150000.0|01-50101|O|Y|
M-S004|OFF|A|SULFUR @ 1 KG|MD3|DISINFECTANT|Q|PACK|1.0|43500.0|01-50101|O|Y|
M-S0047|OFF|A|SKIM MILK @ 25 KG|MD4|VITAMIN & SUPPLEMENT|Q|ZAK|1.0|400000.0|01-50101|O|Y|
M-S005|OFF|A|SOTASEC @ 1000 DS|MD4|VITAMIN & SUPPLEMENT|Q|VIAL|1.0|17850.0|01-50101|O|Y|
M-S006|OFF|A|SANISQUAD @ 1 L|MD1|DRUG|Q|BOTO|1.0|42500.0|01-50101|O|Y|
M-S007|OFF|A|SOTASEC @ 2000 DS|MD4|VITAMIN & SUPPLEMENT|Q|VIAL|1.0|25000.0|01-50101|O|Y|
M-S008|OFF|A|SUPER CHICK @ 100 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|6944.0|01-50101|O|Y|
M-S009|OFF|A|SUPER CHICK @ 250 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|17361.25|01-50101|O|Y|
M-S0097|OFF|A|SANISQUAD @ 1 L|MD|DRUG|Q|BTL|1.0|0.0|01-50101|O|Y|
M-S010|OFF|A|SARAKIL @ 5 LTR|MD1|DRUG|Q|BTL|1.0|290400.0|01-50101|O|Y|
M-S011|OFF|A|SADIAZOT @ 1LTR|MD4|VITAMIN & SUPPLEMENT|Q|BOTO|1.0|140800.0|01-50101|O|Y|
M-S012|OFF|A|SARAKIL @ 1 LTR|MD1|DRUG|Q|BOTO|1.0|60225.0|01-50101|O|Y|
M-S013|OFF|A|SADIAZOT @ 250 ML|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|62700.0|01-50101|O|Y|
M-S014|OFF|A|SUPRALIT @ 250 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|9000.0|01-50101|O|Y|
M-S015|OFF|A|SUANOVIL @ 1 KG|MD1|DRUG|Q|PACK|1.0|582000.0|01-50101|O|Y|
M-S016|OFF|A|SUPORTAN @ 1 LTR|MD3|DISINFECTANT|Q|BTL|1.0|160000.0|01-50101|O|Y|
M-S017|OFF|A|SEPTOCIDE @ 1 LTR|MD1|DRUG|Q|BTL|1.0|26000.0|01-50101|O|Y|
M-S079|OFF|A|SODA API  @ 1 KG|MD3|DISINFECTANT|Q|PACK|1.0|4000.0|01-50101|O|Y|
M-S10S|OFF|A|SARAKIL @ 1 LTR|MD1|DRUG|Q|BKS|1.0|60225.0|01-50101|O|Y|
M-T001|OFF|A|TEKTROL @ 3,8 L|MD1|DRUG|Q|GALO|1.0|316250.0|01-50101|O|Y|
M-T002|OFF|A|TRIMAZINE @ 500 GR|MD1|DRUG|Q|PACK|1.0|60000.0|01-50101|O|Y|
M-T0021|OFF|A|TRIMAZINE @ 100 GR|MD1|DRUG|Q|PACK|1.0|15000.0|01-50101|O|Y|
M-T003|OFF|A|TYLAN SOLUBLE @ 100 GR|MD1|DRUG|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-T004|OFF|A|TYLOMAS @ 250 GR|MD1|DRUG|Q|PACK|1.0|45000.0|01-50101|O|Y|
M-T0041|OFF|A|TYLOMAS @ 100 GR|MD1|DRUG|Q|PACK|1.0|18000.0|01-50101|O|Y|
M-U001|OFF|A|U46 @ 500 GR|MD9|MEDICINE (OTHERS)|Q|BOTO|1.0|0.0|01-50101|O|Y|
M-U002|OFF|A|UCARSAN @ 1 L|MD3|DISINFECTANT|Q|BTL|1.0|82500.0|01-50101|O|Y|
M-V001|OFF|A|VITABRO @ 250 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|16052.0|01-50101|O|Y|
M-V002|OFF|A|VITAMIN C @ 1 KG|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|70000.0|01-50101|O|Y|
M-V003|OFF|A|VITAPAK|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|0.0|01-50101|O|Y|
M-V004|OFF|A|VAKSIPES IB H120  1000 DS|MD2|VACCINE|Q|VIAL|1.0|17050.0|01-50101|O|Y|
M-V005|OFF|A|VITAMAS @ 100 GR|MD4|VITAMIN & SUPPLEMENT|Q|PACK|1.0|15700.0|01-50101|O|Y|
